AccessionID,reason,collection_date,lineage
EPI_ISL_10957638,wastewater_or_cell_passaged,2021-05-04,B.1.617.2
EPI_ISL_10957639,wastewater_or_cell_passaged,2021-04-02,B.1.617.2
EPI_ISL_10980369,Beta before Aug 2020,2020-02-18,B.1.351
EPI_ISL_10980370,Beta before Aug 2020,2020-02-24,B.1.351
EPI_ISL_10989154,wastewater_or_cell_passaged,2020-04-06,B.1.1
EPI_ISL_10989155,wastewater_or_cell_passaged,2020-04-14,B.1.1
EPI_ISL_10989156,wastewater_or_cell_passaged,2020-04-29,B.1.1
EPI_ISL_10989157,wastewater_or_cell_passaged,2020-07-07,B.1.1.284
EPI_ISL_10989158,wastewater_or_cell_passaged,2020-07-21,B.1.1.284
EPI_ISL_10989159,wastewater_or_cell_passaged,2020-07-28,B.1.1.284
EPI_ISL_10989160,wastewater_or_cell_passaged,2020-10-29,B.1.1.214
EPI_ISL_10989161,wastewater_or_cell_passaged,2020-08-03,B.1.1.284
EPI_ISL_10989162,wastewater_or_cell_passaged,2020-10-29,B.1.1.214
EPI_ISL_10989163,wastewater_or_cell_passaged,2020-11-29,B.1.1.214
EPI_ISL_10989164,wastewater_or_cell_passaged,2021-03-04,B.1.1.7
EPI_ISL_10989165,wastewater_or_cell_passaged,2021-03-05,B.1.1.7
EPI_ISL_10992735,wastewater_or_cell_passaged,2021-08-24,AY.29
EPI_ISL_10992736,wastewater_or_cell_passaged,2021-08-26,AY.29
EPI_ISL_10992737,wastewater_or_cell_passaged,2021-08-26,AY.29
EPI_ISL_10992738,wastewater_or_cell_passaged,2021-08-26,AY.29
EPI_ISL_10992739,wastewater_or_cell_passaged,2021-08-27,AY.29
EPI_ISL_10992740,wastewater_or_cell_passaged,2021-08-28,AY.29
EPI_ISL_10992741,wastewater_or_cell_passaged,2021-08-28,AY.29
EPI_ISL_10992742,wastewater_or_cell_passaged,2021-08-30,AY.29
EPI_ISL_10992743,wastewater_or_cell_passaged,2021-09-02,AY.29
EPI_ISL_10992744,wastewater_or_cell_passaged,2021-09-03,AY.29
EPI_ISL_10993951,wastewater_or_cell_passaged,2021-04-22,B.1.1.7
EPI_ISL_10993952,wastewater_or_cell_passaged,2021-04-22,B.1.1.7
EPI_ISL_10993953,wastewater_or_cell_passaged,2021-04-26,B.1.1.7
EPI_ISL_10993954,wastewater_or_cell_passaged,2021-04-26,B.1.1.7
EPI_ISL_10993955,wastewater_or_cell_passaged,2021-05-03,B.1.1.7
EPI_ISL_10993956,wastewater_or_cell_passaged,2021-05-13,B.1.1.7
EPI_ISL_10993957,wastewater_or_cell_passaged,2021-05-14,B.1.1.7
EPI_ISL_10993958,wastewater_or_cell_passaged,2021-05-18,B.1.1.7
EPI_ISL_10993959,wastewater_or_cell_passaged,2021-05-24,B.1.1.7
EPI_ISL_10993960,wastewater_or_cell_passaged,2021-05-28,B.1.1.7
EPI_ISL_10994247,wastewater_or_cell_passaged,2021-06-11,B.1.1.7
EPI_ISL_10994248,wastewater_or_cell_passaged,2021-08-01,AY.29
EPI_ISL_10994249,wastewater_or_cell_passaged,2021-08-19,AY.29
EPI_ISL_10994250,wastewater_or_cell_passaged,2021-08-19,AY.29
EPI_ISL_10994251,wastewater_or_cell_passaged,2021-08-20,AY.29
EPI_ISL_10994252,wastewater_or_cell_passaged,2021-08-20,AY.29
EPI_ISL_10994253,wastewater_or_cell_passaged,2021-08-23,AY.29
EPI_ISL_10994254,wastewater_or_cell_passaged,2021-08-24,AY.29.1
EPI_ISL_10994255,wastewater_or_cell_passaged,2021-08-24,AY.29
EPI_ISL_10994256,wastewater_or_cell_passaged,2021-08-24,AY.29
EPI_ISL_10994502,wastewater_or_cell_passaged,2021-09-04,AY.29
EPI_ISL_10994503,wastewater_or_cell_passaged,2021-09-05,AY.29
EPI_ISL_10994504,wastewater_or_cell_passaged,2021-09-16,AY.29
EPI_ISL_10994505,wastewater_or_cell_passaged,2021-09-22,AY.29
EPI_ISL_10994506,wastewater_or_cell_passaged,2021-09-24,AY.29
EPI_ISL_10994507,wastewater_or_cell_passaged,2021-10-02,AY.29
EPI_ISL_10994508,wastewater_or_cell_passaged,2021-10-11,AY.29
EPI_ISL_10994509,wastewater_or_cell_passaged,2021-10-13,AY.29
EPI_ISL_10994510,wastewater_or_cell_passaged,2021-10-22,AY.29
EPI_ISL_10994511,wastewater_or_cell_passaged,2021-10-27,AY.29
EPI_ISL_11014871,wastewater_or_cell_passaged,2021-11-11,AY.103
EPI_ISL_11050879,wastewater_or_cell_passaged,2021-02-19,B.1.351
EPI_ISL_11050880,wastewater_or_cell_passaged,2021-04-22,B.1.617.2
EPI_ISL_11110193,wastewater_or_cell_passaged,2022-01-21,BA.2
EPI_ISL_11171159,wastewater_or_cell_passaged,2022-02-11,B.1.617.2
EPI_ISL_11171161,wastewater_or_cell_passaged,2022-02-11,B.1.617.2
EPI_ISL_11171163,wastewater_or_cell_passaged,2022-02-11,B.1.617.2
EPI_ISL_11171166,wastewater_or_cell_passaged,2022-02-11,B.1.617.2
EPI_ISL_11171168,wastewater_or_cell_passaged,2022-02-11,B.1.617.2
EPI_ISL_11171170,wastewater_or_cell_passaged,2022-02-11,B.1.617.2
EPI_ISL_11171173,wastewater_or_cell_passaged,2022-02-14,B.1.617.2
EPI_ISL_11171174,wastewater_or_cell_passaged,2022-02-14,B.1.617.2
EPI_ISL_11230053,wastewater_or_cell_passaged,2021-02-05,B.1
EPI_ISL_11230054,wastewater_or_cell_passaged,2021-02-05,B.1
EPI_ISL_11302892,wastewater_or_cell_passaged,2022-01-04,BA.1.1
EPI_ISL_11302893,wastewater_or_cell_passaged,2022-01-16,BA.1.1
EPI_ISL_11302895,wastewater_or_cell_passaged,2022-01-13,BA.1.1
EPI_ISL_11303232,wastewater_or_cell_passaged,2021-12-13,AY.4.2.1
EPI_ISL_11327091,wastewater_or_cell_passaged,2022-01-24,BA.2
EPI_ISL_11333351,wastewater_or_cell_passaged,2021-07-29,B.1.1.7
EPI_ISL_11333354,wastewater_or_cell_passaged,2021-08-31,B.1.1.7
EPI_ISL_11333411,wastewater_or_cell_passaged,2021-06-18,B.1.1.7
EPI_ISL_11333413,wastewater_or_cell_passaged,2021-06-11,B.1.1.7
EPI_ISL_11333432,wastewater_or_cell_passaged,2021-06-12,B.1.1.7
EPI_ISL_11333507,wastewater_or_cell_passaged,2021-06-23,B.1.1.7
EPI_ISL_11333508,wastewater_or_cell_passaged,2021-06-23,B.1.1.7
EPI_ISL_11333509,wastewater_or_cell_passaged,2021-06-16,B.1.1.7
EPI_ISL_11333510,wastewater_or_cell_passaged,2021-06-20,B.1.1.7
EPI_ISL_11333511,wastewater_or_cell_passaged,2021-06-19,B.1.1.7
EPI_ISL_11333512,wastewater_or_cell_passaged,2021-06-21,B.1.1.7
EPI_ISL_11333513,wastewater_or_cell_passaged,2021-06-27,B.1.1.7
EPI_ISL_11333514,wastewater_or_cell_passaged,2021-06-12,B.1.1.7
EPI_ISL_11333516,wastewater_or_cell_passaged,2021-06-20,B.1.1.7
EPI_ISL_11333517,wastewater_or_cell_passaged,2021-07-02,B.1.1.7
EPI_ISL_11362237,wastewater_or_cell_passaged,2021-06-23,B.1.1.7
EPI_ISL_11362238,wastewater_or_cell_passaged,2021-07-05,B.1.1.7
EPI_ISL_11362239,wastewater_or_cell_passaged,2021-07-01,AY.46
EPI_ISL_11362240,wastewater_or_cell_passaged,2021-06-28,B.1.1.7
EPI_ISL_11362241,wastewater_or_cell_passaged,2021-07-06,B.1.1.7
EPI_ISL_11362242,wastewater_or_cell_passaged,2021-07-23,AY.23
EPI_ISL_11362243,wastewater_or_cell_passaged,2021-07-12,AY.4
EPI_ISL_11362244,wastewater_or_cell_passaged,2021-09-02,B.1.1.7
EPI_ISL_11373018,wastewater_or_cell_passaged,2021-12-27,AY.4
EPI_ISL_11449574,wastewater_or_cell_passaged,2022-01-07,AY.44
EPI_ISL_11450498,wastewater_or_cell_passaged,2020-05-21,B.1
EPI_ISL_11799983,wastewater_or_cell_passaged,2021-06-13,AY.45
EPI_ISL_11836071,wastewater_or_cell_passaged,2021-03-22,B.1.1.33
EPI_ISL_11836072,wastewater_or_cell_passaged,2021-04-16,B.1.1.33
EPI_ISL_11836073,wastewater_or_cell_passaged,2021-04-19,A.2
EPI_ISL_11836074,wastewater_or_cell_passaged,2021-04-17,P.2
EPI_ISL_11836075,wastewater_or_cell_passaged,2021-04-16,P.2
EPI_ISL_11836076,wastewater_or_cell_passaged,2021-04-17,P.2
EPI_ISL_11836077,wastewater_or_cell_passaged,2021-04-16,P.2
EPI_ISL_11836078,wastewater_or_cell_passaged,2021-04-16,P.2
EPI_ISL_11836079,wastewater_or_cell_passaged,2021-05-11,P.1
EPI_ISL_11836080,wastewater_or_cell_passaged,2021-05-11,P.1
EPI_ISL_11926922,wastewater_or_cell_passaged,2022-03-23,BA.2
EPI_ISL_11988443,wastewater_or_cell_passaged,2020-04-27,B.1.609
EPI_ISL_11988444,wastewater_or_cell_passaged,2020-04-27,B.1.609
EPI_ISL_11988445,wastewater_or_cell_passaged,2020-04-27,B.1.609
EPI_ISL_12179149,wastewater_or_cell_passaged,2022-03-11,BA.2.3
EPI_ISL_12205995,wastewater_or_cell_passaged,2020-03-07,A.2
EPI_ISL_12205996,wastewater_or_cell_passaged,2020-03-06,A.2
EPI_ISL_12228443,wastewater_or_cell_passaged,2020-12-14,B.1.429
EPI_ISL_12228444,wastewater_or_cell_passaged,2020-12-14,B.1.429
EPI_ISL_12228445,wastewater_or_cell_passaged,2021-01-04,B.1.429
EPI_ISL_12228446,wastewater_or_cell_passaged,2021-01-05,B.1.2
EPI_ISL_12228447,wastewater_or_cell_passaged,2021-01-05,B.1.561
EPI_ISL_12228448,wastewater_or_cell_passaged,2021-01-08,B.1.429
EPI_ISL_12228449,wastewater_or_cell_passaged,2021-01-21,B.1.2
EPI_ISL_12228450,wastewater_or_cell_passaged,2021-01-25,B.1.2
EPI_ISL_12228451,wastewater_or_cell_passaged,2021-01-15,B.1.2
EPI_ISL_12228455,wastewater_or_cell_passaged,2021-02-02,B.1.2
EPI_ISL_12228456,wastewater_or_cell_passaged,2021-02-11,B.1.1.7
EPI_ISL_12228457,wastewater_or_cell_passaged,2021-02-26,B.1.429
EPI_ISL_12228458,wastewater_or_cell_passaged,2021-02-26,B.1.429
EPI_ISL_12228459,wastewater_or_cell_passaged,2021-02-25,B.1.429
EPI_ISL_12228460,wastewater_or_cell_passaged,2021-02-26,B.1.429
EPI_ISL_12228461,wastewater_or_cell_passaged,2021-03-04,P.1.17
EPI_ISL_12228462,wastewater_or_cell_passaged,2021-03-04,C.16
EPI_ISL_12228463,wastewater_or_cell_passaged,2021-03-11,B.1.429
EPI_ISL_12228464,wastewater_or_cell_passaged,2021-02-25,B.1.429
EPI_ISL_12228465,wastewater_or_cell_passaged,2021-03-25,B.1.2
EPI_ISL_12228466,wastewater_or_cell_passaged,2021-03-30,B.1.2
EPI_ISL_12228467,wastewater_or_cell_passaged,2021-03-25,B.1.2
EPI_ISL_12228468,wastewater_or_cell_passaged,2021-04-05,B.1.429
EPI_ISL_12228469,wastewater_or_cell_passaged,2021-03-18,B.1.429
EPI_ISL_12228470,wastewater_or_cell_passaged,2021-03-23,B.1.429
EPI_ISL_12228471,wastewater_or_cell_passaged,2021-03-24,B.1.429
EPI_ISL_12228472,wastewater_or_cell_passaged,2021-03-24,B.1.2
EPI_ISL_12228473,wastewater_or_cell_passaged,2021-03-18,C.16
EPI_ISL_12228474,wastewater_or_cell_passaged,2021-03-25,Q.3
EPI_ISL_12228475,wastewater_or_cell_passaged,2021-03-25,B.1.2
EPI_ISL_12228476,wastewater_or_cell_passaged,2021-03-12,B.1.429
EPI_ISL_12228477,wastewater_or_cell_passaged,2021-03-19,B.1.429
EPI_ISL_12228478,wastewater_or_cell_passaged,2021-03-19,B.1.429
EPI_ISL_12228479,wastewater_or_cell_passaged,2021-03-19,B.1.637
EPI_ISL_12228480,wastewater_or_cell_passaged,2021-03-19,B.1.1.7
EPI_ISL_12228481,wastewater_or_cell_passaged,2021-04-02,B.1.1.7
EPI_ISL_12228482,wastewater_or_cell_passaged,2021-04-05,B.1.1.7
EPI_ISL_12228483,wastewater_or_cell_passaged,2021-04-09,B.1.637
EPI_ISL_12228484,wastewater_or_cell_passaged,2021-04-06,B.1.2
EPI_ISL_12228485,wastewater_or_cell_passaged,2021-04-05,Q.3
EPI_ISL_12228486,wastewater_or_cell_passaged,2021-04-12,B.1.2
EPI_ISL_12228487,wastewater_or_cell_passaged,2021-04-13,B.1.429
EPI_ISL_12228488,wastewater_or_cell_passaged,2021-04-12,B.1.427
EPI_ISL_12228489,wastewater_or_cell_passaged,2021-04-20,B.1.427
EPI_ISL_12228490,wastewater_or_cell_passaged,2021-04-15,B.1.427
EPI_ISL_12228491,wastewater_or_cell_passaged,2021-04-16,B.1.427
EPI_ISL_12228492,wastewater_or_cell_passaged,2021-04-14,B.1.429
EPI_ISL_12228493,wastewater_or_cell_passaged,2021-04-20,B.1.429
EPI_ISL_12228494,wastewater_or_cell_passaged,2021-04-27,B.1.427
EPI_ISL_12228495,wastewater_or_cell_passaged,2021-05-05,B.1.429
EPI_ISL_12228496,wastewater_or_cell_passaged,2021-05-06,Q.3
EPI_ISL_12228497,wastewater_or_cell_passaged,2021-05-21,B.1.1.7
EPI_ISL_12228498,wastewater_or_cell_passaged,2021-05-20,B.1.1.7
